Afrikaans	Bengali	Czech	Danish	English	Esperanto	Finnish	Georgian	Hebrew	Italian	Portuguese	Russian	Swahili
	উ ত ্ ত ে জ ন া			e x c i t a t i o n				ה ת ר ג ש ו ת	e c c i t a z i o n e	e x c i t a ç ã o	в о з б у ж д е ́ н и е	
		b e z p e č n ý		s a f e		t u r v a l l i n e n	ს ა ი მ ე დ ო			s e g u r o	б е з о п а ́ с н ы й	u g a n d a
				m e t a p h a s e					m e t a f a s e			
				A g r i g e n t o		A g r i g e n t o	ა გ რ ი ჯ ე ნ ტ ო	א ג ר י ג ׳ נ ט ו	A g r i g e n t o	A g r i g e n t o	А г р и д ж е ́ н т о	
			s e l v o p t a g e t h e d	s o l i p s i s m						s o l i p s i s m o		
		f u n k c i o n a l i s t i c k ý		f u n c t i o n a l i s t								
				s u p e r a n n u a t e		e l ä k ö i t y ä						
				Y e n a k i y e v e							Е н а ́ к и е в о	
j o n k				y o u n g								
				p o o l   n o o d l e		l ö t k ö p ö t k ö						
				w o m a n h o o d		n a i s e l l i s u u s					ж е ́ н с т в е н н о с т ь	
				s i c k		o k s e n n u s					б л е в о ́ т а	
				p r i n c i p a l		k u r k i h i r s i						
		p r á v n i č k a		a d v o c a t e	a d v o k a t o	a s i a n a j a j a	ა დ ვ ო კ ა ტ ი	ס נ ג ו ר	a v v o c a t a	a d v o g a d a	з а щ и ́ т н и ц а	
		u k l i d n i t	b l i v e   r o l i g	c a l m		r a u h o i t t u a		נ ר ג ע			у с п о к о и ́ т ь с я	
		p e s t i c i d		p e s t i c i d e	p e s t i c i d o	t u h o l a i s m y r k k y			p e s t i c i d a	p e s t i c i d a	п е с т и ц и ́ д	
				k n a v e		h o v i p o i k a			p a g g i o		м а ́ л ь ч и к - с л у г а ́	g h u l a m u
				r o g u e						s i s t e m a   n ã o   c o n t r o l a d o	л ж е а н т и в и ́ р у с	y a   s h a r i
				a l c o p o p		l i m u a l k o h o l i					о т в ё р т к а	
				c a l y p t r a					c a l i p t r a	c a l i p t r a		
			f r e d s f o r h a n d l i n g	p e a c e   t a l k s		r a u h a n n e u v o t t e l u t						
				s w e a t y		h i k i n e n						
				W i k i p e d i a		t i e t o s a n a k i r j a						
				U s u p a s h v i l i			უ ს უ ფ ა შ ვ ი ლ ი				У с у п а ш в и ́ л и	
		o d d a n o s t		a l l e g i a n c e	f i d e l e c o	u s k o l l i s u u s			l e a l t à	a d e s ã o	п р е ́ д а н н о с т ь	
				B a l k a n i z a t i o n		b a l k a n i s a a t i o	ბ ა ლ კ ა ნ ი ზ ა ც ი ა				б а л к а н и з а ́ ц и я	
		z k o s t n a t ě n í		c o n s o l i d a t i o n								
				l a b i a l		l a b i a a l i n e n	ლ ა ბ ი ა ლ უ რ ი					
				c a r d		k a r s t a						
k o s m o s		k o s m o s	k o s m o s	c o s m o s	k o s m o	k o s m o s	კ ო ს მ ო ს ი		c o s m o	c o s m o	в с е л е ́ н н а я	
		z p ů s o b   ž i v o t a	l i v s s t i l	l i f e s t y l e	v i v m a n i e r o	e l ä m ä n t a p a		א ו ר ח   ח י י ם	s t i l e   d i   v i t a	e s t i l o   d e   v i d a	о ́ б р а з   ж и ́ з н и	
				p r o t o c a n o n i c a l					p r o t o c a n o n i c o			
	খ া ল	p r ů p l a v	k a n a l	c a n a l	k a n a l o	k a n a v a	ა რ ხ ი	ת ְ ּ ע ָ ל ָ ה	c a n a l e	c a n a l	к а н а ́ л	m f e r e j i
				p o i n t		p i s t e				p o n t i n h a		
				r e c i p r o c a t e		k i e r t ä ä						
		m r z n o u t		f r e e z e		j ä ä t ä ä	ყ ი ნ ვ ა					
				i n e p t i t u d e		k y v y t t ö m y y s					н и к у д ы ш н о с т ь	
				i s s u e		a n n o s t e l l a						s u a l a
				s w i n g   d o o r							п е н д е л ь т ю р	
				s h a r e		j a k o						
		č i s t k a	u d r e n s n i n g	p u r g e		p u h d i s t u s			e p u r a z i o n e	p u r g a	ч и ́ с т к а	
				P i t s u n d a			ბ ი ჭ ვ ი ნ თ ა				П и ц у ́ н д а	
	ম ণ ি প ু র			M a n i p u r	M a n i p u r o	M a n i p u r	მ ა ნ ი პ უ რ ი	מ א נ י פ ו ר		M a n i p u r	М а н и п у ́ р	
				c a n n o n   b o n e		e t u s ä ä r i l u u						
				u n r e g u l a t e d		s ä ä n n ö s t e l e m ä t ö n						
r o o i	ল ো হ ি ত	č e r v e n ý	r ø d	r e d	r u ĝ a	p u n a i n e n	წ ი თ ე ლ ი	א ֲ ד ֻ מ ָ ּ ה	r u b i n o	v e r m e l h o	а ́ л ы й	n y e k u n d u
				o b s e s s i v e l y					2			
				o r o g r a p h y					o r o g r a f i a		р е л ь е ́ ф	
				l a p		y l i t e						
		i n i c i á l a		i n i t i a l	ĉ e f l i t e r o	a n f a n g i					и н и ц и а ́ л	
		h a n o p i s		l a m p o o n		s a t i i r i					с а т и ́ р а	
				H o p i						h o p i	х о ́ п и	
		s l i n i t		s a l i v a t e					s b a v a r e	s a l i v a r		
		s p a d		f a l l o u t		l a s k e u m a			p i o g g i a	p r e c i p i t a ç ã o	в ы п а д е ́ н и е	
				l i n t		h a h t u v a						
			l e n s h y l d n i n g	h o m a g e	o m a ĝ o	u s k o l l i s u u d e n v a l a			o m a g g i o	h o m e n a g e m	п о в и ́ н н о с т ь	
				B e a t r i c e	B e a t r i c a				B e a t r i c e	B e a t r i z	Б е а т р и ́ с	
			l a m s l å	d u m b f o u n d		l y ö d ä   ä l l i k ä l l ä					о ш а р а ш и в а т ь	
				s t r e e t l i g h t						l u z   d e   r u a		
				A n n a m i t e					a n n a m i t i c o			
				d i e l e c t r i c		e r i s t e			d i e l e t t r i c o	d i e l é t r i c o	д и э л е ́ к т р и к	
		d o j e m		i m p r e s s i o n		v a i k u t u s	გ ა ნ ც დ ა		o p i n i o n e	i m p r e s s ã o	в п е ч а т л е ́ н и е	
		ú ř a d		b u r o		v i r a s t o		ל ש כ ה	u f f i c i o	e s c r i t ó r i o	к о н т о ́ р а	
k a k k e r l a k	আ র শ ু ল া	š v á b	k a k e r l a k	c o c k r o a c h	b l a t o	r u s s a k k a	ტ ა რ ა კ ა ნ ი	ת י ק ן	s c a r a f a g g i o	c a r o c h a	п р у с а ́ к	k o m b a m w i k o
				j o s s   s t i c k		s u i t s u k e			b a s t o n c i n i   d i   i n c e n s o			
			m o d e r l ø s	m o t h e r l e s s								
				A m e r i c o p h i l e						a m e r i c a n ó f i l o		
				a m a s s e r						a m o n t o a d o r		
				m a n d a r i n   f i s h		t i i k e r i b a s s i					а у х а ́	
				s u b o r d i n a t e		a l i s t e i n e n				s u b o r d i n a d o	п р и д а ́ т о ч н ы й	
				r e a c h		o s u a			p r e n d e r e	a t i n g i r		
				h i k e		p a t i k k a r e t k i			e s c u r s i o n e	e x c u r s ã o	п р о г у ́ л к а	
				c r i t i c	k r i t i k i s t o	a r v o t t a j a		מ ְ ב ַ ק ֶ ּ ר ֶ ת		c r í t i c o	к р и ́ т и к	
				n u r t u r e		k a s v a t t a a						
				p h o t o v o l t a i c s		a u r i n k o k e n n o t e k n i i k k a						
				o p e n		k a t k o s						f u n g u a
				d e l i v e r a b l e		m y y n t i t u o t e						
				i n d e l i b l e		u n o h t u m a t o n				i n e s q u e c í v e l	н е з а б ы в а ́ е м ы й	
				g o   a h e a d		a l o i t t a a					п о ж а ́ л у й с т а	
				e p i t o m i z e						e p i t o m i z a r		
		m é d i a		m e d i a						m e d i a	м е ́ д и а	
				g l u c k		p u l p u t t a a						
				m u d d y						t u r v o	м у ́ т н ы й	
		s l u c h		a u d i t i o n		k u u l o a i s t i			a s c o l t a z i o n e	a u d i ç ã o	с л у х	
				s i l l i n e s s					s t u p i d i t à			
		p i z z e r i e	p i z z e r i a	p i z z e r i a	p i c e j o	p i z z e r i a		פ י צ ר י ה	p i z z e r i a	p i z z a r i a	п и ц ц е ́ р и ́ я	
				s t a t i s t i c a l l y		t i l a s t o l l i s e s t i				e s t a t i s t i c a m e n t e	с т а т и с т и ́ ч е с к и	
				u n i o n i z a t i o n		j ä r j e s t ä y t y m i n e n				s i n d i c a l i z a ç ã o		
				i m p o v e r i s h		k ö y h d y t t ä ä						
				h u c k s t e r		h e l p p o h e i k k i					т о р г а ́ ш	
		n o r s k ý		N o r s e	n o r e n a				n o r r e n o		н о р в е ́ ж с к и й	- a   K i n o r s i
				F i l i p i n o		f i l i p p i i n o				f i l i p i n o	п и л и п и ́ н о	
				h e a d l i n e r		s i s ä k a t o n   v e r h o u s						
				o l i g o d e o x y r i b o n u c l e o t i d e		o l i g o d e o k s i r i b o n u k l e o t i d i						
				s o l a r   d a y		a u r i n k o v u o r o k a u s i					с о ́ л н е ч н ы е   с у ́ т к и	
		h l a s	g e n n e m s l a g s k r a f t	v o i c e	v o ĉ o	ä ä n i				v o z		
				s e n s i t i v i t y		h a v a i n t o k y k y			s e n s i b i l i t à			
			f o r a n d r i n g s p r o c e s	c h a n g e   m a n a g e m e n t								
				r o a d i e		r o u d a r i						
				p o s t g l a c i a l   r e b o u n d		m a a n k o h o a m i n e n	გ ლ ა ც ი ო ი ზ ო ს ტ ა ზ ი ა					
				c o n c o c t					p r e p a r a r e		с о с т р я п ы в а т ь	
			u r e g l e m e n t e r e t	c l a n d e s t i n e l y								
		d o b r o č i n n o s t		c h a r i t y	k a r i t a t o	h y v ä n t e k e v ä i s y y s	ქ ვ ე ლ მ ო ქ მ ე დ ე ბ ა	צ ְ ד ָ ק ָ ה	c a r i t à	d o a ç ã o	б л а г о т в о р и ́ т е л ь н о с т ь	
				m a d d a h				מ ַ ד ַ ּ ה			м а ́ д д а	
		p r d e l   s v ě t a		m i d d l e   o f   n o w h e r e		h o r n a n t u u t t i				c u   d e   J u d a s	г л у ш ь	
				s y m p a t h i z e r	s i m p a t i a n t o				s i m p a t i z z a n t e		с т о р о ́ н н и к	
				d o u r o u c o u l i		y ö a p i n a				m a c a c o - d a - n o i t e		
		d e n n í		d i u r n a l	t a g a	d i u r n a a l i n e n			d i u r n o	d i u r n o	д н е в н о ́ й	
				a d h e r e n t		k i i n n i t t y v ä				a d e s i v o	л и ́ п к и й	
				R o x a n a					R o s s a n a	R o s a n a	Р о к с а ́ н а	
		d e g u s t a c e		t a s t i n g		m a i s t i a i n e n			d e g u s t a z i o n e	d e g u s t a ç ã o	п р о ́ б а	
				A n g o u m o i s   m o t h						t r a ç a   d o s   c e r e a i s		
				l o y a l l y		l o j a a l i s t i			l e a l m e n t e	l e a l m e n t e	л о я ́ л ь н о	
				A r i a n		a r e i o l a i n e n			a r i a n o	a r i a n o	а р и а ́ н к а	
				s u r f	r e t u m i	s u r f f a t a		ג ל ש	n a v i g a r e	n a v e g a r		
				c o r k							л у б	
			k u r i s k	C u r o n i a n					c u r l a n d e s e			
				s e c o n d		k a k k o n e n				s e g u n d o		
				s t a t i s t i c a l   m e c h a n i c s		m e k a n i i k k a						
				c u s t o m a r y					c o n s u e t o		п р и в ы ́ ч н ы й	
		k r a t o c h v í l e		p a s t i m e		h u v i				p a s s a t e m p o	з а б а ́ в а	
		p a m ě ť   s   n á h o d n ý m   p ř í s t u p e m		r a n d o m   a c c e s s   m e m o r y								
				t u n e		v i r i t t ä ä			m e t t e r e   a   p u n t o	a j u s t a r		
				b r e a k   i n					d o m a r e		д р е с с и р о в а ́ т ь	
		h e b r e j s k ý		H e b r e w	h e b r e a	h e p r e a l a i n e n		ע ִ ב ְ ר ִ י	e b r e o	h e b r a i c o	е в р е ́ й с к и й	
				A n a s u y a							А н а с у ́ я	
				s l i p   k n o t		v e t o s i l m u k k a			c a p p i o			
		p l ů d e k		f r y		p i k k u k a l a			a v a n n o t t o	a l e v i n o	м а л ё к	
		p o d a t	f r e m s æ t t e   f o r s l a g   o m	m o v e		e s i t t ä ä			r a c c o m a n d a r e	p r o p o r		
		h ř m ě t		r u m b l e		k u r i s t a				r o n c a r	г р о м ы х а ́ т ь	
			b r y s t m æ l k	b r e a s t   m i l k	m a m l a k t o	r i n t a m a i t o		ח ל ב   א ם	l a t t e   m a t e r n o	l e i t e   d e   p e i t o	м а т е р и ́ н с к о е   м о л о к о ́	
		k ř i ž á k		c r u s a d e r	k r u c m i l i t i s t o	r i s t i r e t k e i l i j ä		צ ל ב ן	c r o c i a t o	c r u z a d o	к р е с т о н о ́ с е ц	
				c o m p u l s i o n		p a k o t t a m i n e n	ი ძ უ ლ ე ბ ა				п р и н у ж д е ́ н и е	
		š e d á   l i t i n a		g r a y   i r o n								
h o o p	আ শ া   ক র া	d o u f a t	h å b e	h o p e	e s p e r i	t o i v o a	ი მ ე დ ო ვ ნ ე ბ ა	ק י ו ו ה	s p e r a r e	e s p e r a r	у п о в а ́ т ь	t u m a i n i
				j a c a r a n d a		j a k a r a n d a						
		l é č b a		t r e a t m e n t		k u u r i			c u r a	t r a t a m e n t o	т е р а п и ́ я	m a t i b a b u
				i r r e g u l a r i t y						i r r e g u l a r i d a d e	н е р е г у л я ́ р н о с т ь	
				i n a u g u r a t e		k ä y t t ö				i n a u g u r a r		
				w h e r e a t		j o t e n						
				h a c k a m o r e		h o d e l a g				x á q u i m a		
				A t l a n t i c	a t l a n t i k a					a t l â n t i c o	а т л а н т и ́ ч е с к и й	
				a n t i n a t i o n a l i s t			ა ნ ტ ი ნ ა ც ი ო ნ ა ლ ი ს ტ ი			a n t i n a c i o n a l i s t a		
				s u n - d r i e d		a u r i n k o k u i v a t t u						
				m o x i e		t a i t a v u u s						
		v ý t v a r n é   u m ě n í		v i s u a l   a r t s		k u v a t a i d e	ს ა ხ ვ ი თ ი   ხ ე ლ ო ვ ნ ე ბ ა			a r t e s   v i s u a i s	и з о б р а з и ́ т е л ь н о е   и с к у ́ с с т в о	
				u n i p o l a r		y k s i n a p a i n e n			u n i p o l a r e			
		s o u s e d n í		n e i g h b o u r i n g			მ ე ზ ო ბ ლ უ რ ი			v i z i n h o	с о с е ́ д н и й	
				c h i c k e n - h e a r t e d		j ä n i s h o u s u i n e n						
				e v o l u t i o n						e v o l u ç ã o		
				b a r r e		t a n k o						
				w e a r		v ä s y t t ä ä				d e s g a s t a r		
				m e g a l o m a n i a		s u u r u u d e n h u l l u u s						
				l i n e							в ы ́ с т р о и т ь с я	m s t a r i
			a c q u i s   c o m m u n a u t a i r e	a c q u i s   c o m m u n a u t a i r e			ა კ ი ს ი					
				d i s c h a r g e		k o t i u t t a a					в ы ́ п и с а т ь	
	দ ৈ হ ি ক	t ě l e s n ý		b o d i l y		r u u m i i l l i n e n			c o r p o r e o	c o r p ó r e o	т е л е ́ с н ы й	
				g o   b y		n o u d a t t a a					с л е ́ д о в а т ь	
				m a s t e r w o r k		m e s t a r i n ä y t e			c a p o l a v o r o			
				O t t o m a n   T u r k i s h						t u r c o   o t o m a n o	о с м а ́ н с к о - т у р е ́ ц к и й	
				r a t							н е г о д я ́ й	
				a n c h o r   l i n e		a n k k u r i k e t t i n k i						
				a g g l u t i n a t e		a g g l u t i n o i d a				a g l u t i n a r		
				c a p a c i t y		a s e m a				c a p a c i d a d e	к о м п е т е ́ н т н о с т ь	
		d á v n ý		b y g o n e		m e n n y t			a n d a t o		п р о ́ ш л ы й	
		v á l e č n á   l o ď	k r i g s s k i b	w a r s h i p	m i l i t ŝ i p o	s o t a l a i v a	ს ა ბ რ ძ ო ლ ო   ხ ო მ ა ლ დ ი	ס פ י נ ת   מ ל ח מ ה	u n i t à   m i l i t a r i   n a v a l i		в о е ́ н н ы й   к о р а ́ б л ь	m a n o w a r i
				L ' A q u i l a					L ' A q u i l a			
			l ø v e	L e o	l e o n u l i n o					l e o n i n o	л е в	
				H i p p o p o t a m i d a e								f a m i l i a   y a   k i b o k o
				s l a m		d o n k k a u s						
				a n t i t e t a n i c						a n t i t e t â n i c o		
				f l e x		l i i t ä n t ä j o h t o						
				d e l i v e r		v a p a u t t a a						
		h o l i s t a		h o l i s t								
				m e t h y l a t i o n				מ ת י ל צ י ה	m e t i l a z i o n e	m e t i l a ç ã o	м е т и л и р о в а н и е	
				g r e a t   c i r c l e		i s o y m p y r ä r e i t t i						
		p y t l á c t v í		p o a c h i n g	ŝ t e l ĉ a s a d o	s a l a m e t s ä s t y s			b r a c c o n a g g i o		б р а к о н ь е ́ р с т в о	
				M i c h a e l m a s		m i k k e l i n p ä i v ä						
				e a r l d o m					c o n t e a			
				b e a r		t u l l a   v o i m a a n						
			f a l s k   s p o r	r e d   h e r r i n g		h ä m ä y s	ს ა ტ ყ უ ა რ ა		s p e c c h i e t t o   p e r   l e   a l l o d o l e		з а г о в а р и в а н и е   з у б о в	
				S i n g h				ס י נ ג		S i n g h	С и н г х	
				a r d u o u s l y						a r d u a m e n t e		
				a r t i c u l a t i o n		a r t i k u l a a t i o					а р т и к у л я ́ ц и я	
				a b s e n c e		p o i s s a o l o						
				p r e p o n e		v a r h e n t a a		ל ה ק ד י ם				
				a m a n u e n s i s					a m a n u e n s e	a m a n u e n s e		
				M e x i c a n   w a v e		a a l t o				o l a		
				s e e i n g		n ä k e m i n e n						
		f o t o g r a f i c k ý		p h o t o g r a p h i c						f o t o g r á f i c o	ф о т о г р а ф и ́ ч е с к и й	
				D a g e s t a n i		d a g e s t a n i l a i n e n						
			g e n i	g e n i u s		n e r o k k u u s				g e n i a l i d a d e	о д а р ё н н о с т ь	
		z p á t e č n i c k ý		r e t r o g r a d e		r e t r o g r a d i n e n					р е т р о г р а ́ д н ы й	
				a c k n o w l e d g m e n t		t o d i s t u s						
		č o č k a		l e n s		p o i k k e u t u s k e l a				l e n t e		
				e n d o r s e m e n t							о д о б р е н и е	
				p h o t o d a r l i n g t o n							ф о т о д а ́ р л и н г т о н	
				s w i t c h   o f f		k y t k e ä   p o i s   p ä ä l t ä						
		J ó n s k é   m o ř e	I o n i s k e   H a v	I o n i a n   S e a		J o o n i a n m e r i			M a r   I o n i o	M a r   J ô n i c o	И о н и ́ ч е с к о е   м о ́ р е	
				s i g n	s i g n o	m e r k k i		ס מ ל	s i m b o l o	s í m b o l o	з н а к	
				s c a l e r		s u o m u s t a j a						
		p ř í l e ž i t o s t n ý		c a s u a l		s a t u n n a i n e n				c a s u a l	с л у ч а ́ й н ы й	
		m u č e d n i c t v í		m a r t y r d o m		m a r t t y y r i u s	მ ო წ ა მ ე ო ბ ა				м у ́ ч е н и ч е с т в о	
				E a r l y   N e w   H i g h   G e r m a n			ა დ რ ე უ ლ ი   ა ხ ა ლ ი   ზ ე მ ო გ ე რ მ ა ნ უ ლ ი   ე ნ ა					
			d å r l i g	b a d	m a l b o n o d o r a	p a h a n h a j u i n e n			c a t t i v o	r u i m	д у р н о ́ й	
			d a g u e r r e o t y p i	d a g u e r r e o t y p e	d a g e r o t i p i o	d a g u e r r o t y p i a				d a g u e r r e ó t i p o	д а г е р р о т и ́ п	
				d i s m a n t l e		r i i s u a					р а з о б р а ́ т ь	
				v o i v o d e		v o i v o d i					в о е в о ́ д а	
				m u l t i d i m e n s i o n a l i t y		m o n i u l o t t e i s u u s						
		a n d r o i d	a n d r o i d e	a n d r o i d	a n d r o i d o	a n d r o i d i			a n d r o i d e	a n d r o i d e	р о ́ б о т	
		t r o c k i s t a	t r o t s k i s t	T r o t s k y i t e			ტ რ ო ც კ ი ს ტ ი			t r o t s k i s t a	т р о ц к и ́ с т к а	
		K é f a s		C e p h a s					C e f a	C e f a s	К и ́ ф а	
				a p o p t o s o m e						a p o p t o s s o m a		
				c h r o n o v i s o r						c r o n o v i s o r		
	আ গ ্ র া ব া দ			A g r a b a d								
				r a d i c a l		r a d i k a a l i				r a d i c a l	р а д и к а ́ л ь н ы й	
				t e t r a r c h						t e t r a r c a		
				o o c y t e		o o s y y t t i			o v o c i t o	o v ó c i t o		
				b e l o w		a l h a a l l a					н и ́ ж е	
				h o o p		k o r i p a l l o						
k a p o e n		k a p o u n	k a p u n	c a p o n	k a p o n o	k a p u u n i			c a p p o n e	c a p ã o	к а п л у ́ н	
s p a n s p o r t		k o l e k t i v n í   s p o r t		t e a m   s p o r t		j o u k k u e u r h e i l u						
		p o d n ě t		s t i m u l u s		ä r s y k e				e s t í m u l o	с т и ́ м у л	
				L a d a k h							Л а д а к	
				p h o t o m a c r o g r a p h y					m a c r o f o t o g r a f i a			
d e r d e		t ř e t í   o s o b a		t h i r d		k o l m a s			t e r z o	t e r c e i r o	т р е ́ т и й	
				i n e f f e c t u a l		s a a m a t o n						
				b r i l l i a n t n e s s		k i r k k a u s						
				m i c r o b i c					m i c r o b i c o			
		n e l i n e á r n í		n o n l i n e a r		e p ä l i n e a a r i n e n			n o n   l i n e a r e			
		o s t a t n í		o t h e r s		l o p p u					о с т а л ь н ы ́ е	
				a n c h o v y l i k e		a n j o v i s				a n c h o v a d o		
				c r e w		m i e h i t t ä ä						
				c h a n t e r						c a n t o r		
		d á m a		k i n g		t a m m i					д а ́ м к а	
				O h r i d					O c r i d a			
				d r e a d l o c k s		r a s t a t u k k a			a c c o n c i a t u r a   r a s t a	r a s t a s	д р е ́ д л о к с	
				S y k t y v k a r							С ы к т ы в к а ́ р	
				r e t y p e						c o r r i g i r	п е р е п е ч а ́ т а т ь	
				d i s c i p l i n e		j ä r j e s t y s s ä ä n n ö t						
				U s o n i a	U s o n o							M a r e k a n i
				t r a n s c r i p t i o n   f a c t o r							т р а н с к р и п ц и о ́ н н ы й   ф а ́ к т о р	
				a c r o b a t i c a l l y						a c r o b a t i c a m e n t e		
				v o l u m e t r i c   f l a s k		m i t t a p u l l o						
				t e c h n o l o g y   t r a n s f e r		t e k n o l o g i a n   s i i r t o						
			e j e n d o m s r e t	p r o p e r t y   l a w		e s i n e o i k e u s						
				g o   f i g u r e		o t a p a   s i i t ä   n y t   s e l v ä ä		ל ך   ת ד ע	v a i   a   c a p i r e	v a i   e n t e n d e r	п о й д и ́   з н а ́ й	
				e p o o p h o r o n	e p o o f o r o				e p o o f o r o n	e p o ó f o r o	п р и д а т к и   я и ч н и к а	
				E u r o p h o b i a						e u r o f o b i a		
	ঘ ট ন া	j e v	h æ n d e l s e	e v e n t		t a p a h t u m a	ა ლ ბ ა თ უ რ ი   ხ დ ო მ ი ლ ე ბ ა		e v e n t o	e v e n t o	с о б ы ́ т и е	
				i n t e r c e p t		k e s k e y t t ä ä				i n t e r c e p t a r	п е р е х в а т и ́ т ь	
		č i s t ý		n e a t		p u h d a s			p u r o			
				a l g o r i t h m i z a b l e						a l g o r i t m i z á v e l		
			n y k l a s s i c i s m e	n e o c l a s s i c i s m		u u s k l a s s i s m i				n e o c l a s s i c i s m o	н е о к л а с с и ц и ́ з м	
		b a r	b a r s k a b	b a r		b a a r i k a a p p i				b a r	б а р	
				o s t r a c i s m		o s t r a k i s m o s			o s t r a c i s m o	o s t r a c i s m o	о с т р а к и ́ з м	
				c o l d   c o m f o r t		l a i h a   l o h t u						
				a n t i c		l i i o i t e l t u			o b b r o b r i o s o	g r o t e s c o		
		d i a g r a m		d i a g r a m		k a a v i o			d i a g r a m m a	d i a g r a m a	г р а ́ ф и к	
				d i g i t a l   l i b r a r y						b i b l i o t e c a   d i g i t a l		
				c h o n d r o b l a s t					c o n d r o b l a s t o			
				w h i m p e r							х н ы ́ к а н ь е	
			s t e m p l e	s t a m p		l e i m a t a			t i m b r a r e	c a r i m b a r		
				s a l i c y l a t e					s a l i c i l a t o			
		v o l n ý   č a s		l e i s u r e		v a p a a - a i k a		פ נ א י	t e m p o   l i b e r o	l a z e r	с в о б о ́ д н о е   в р е ́ м я	
				k y p h o t i c						c i f ó t i c o		
				d e k e		h a r h a u t u s						
				d y n e							д и ́ н а	
v e r p o s i n g				r e s p i t e		l e p o t a u k o			t r e g u a	t r é g u a	о т с р о ́ ч к а	
		z e l e n i n a		v e g e t a b l e		k a s v i			v e g e t a l e	v e g e t a l	р а с т е ́ н и е	m m e a
				p r u r i e n t						l a s c i v o	з а в о д я щ и й	
				a b o d e		v i i v y t y s				a g u a r d a r	п р о м е д л е ́ н и е	
				r e d   h u c k l e b e r r y		p u n a m a r j a i n e n   p e n s a s m u s t i k k a						
				b i r d					t i p o			n d e g e
g l o		m y s l e t	m e n e	b e l i e v e	k r e d i	u s k o a			c r e d e r e	a c h a r	д у ́ м а т ь	
				s n o w   m o r e l		l e h t o k o r v a s i e n i						
				r e c o g n i t i o n						r e c o n h e c i m e n t o	у з н а в а ́ н и е	
				s e a   g r e e n						v e r d e - m a r		
				t r e a c h e r y		p e t o s			i n g a n n o		в е р о л о ́ м с т в о	
				l u m m o x		h ö m e l ö						
				a u t o g r a p h		k i r j o i t e t t u			a u t o g r a f o			
				s a t r a p y					s a t r a p i a	s a t r a p i a		
		p o n í ž e n í	y d m y g e l s e	h u m i l i a t i o n		n o l a u s	დ ა მ ც ი რ ე ბ ა		u m i l i a z i o n e	h u m i l h a ç ã o	у н и ж е ́ н и е	
				p e r s o n a						p e r s o n a g e m	п е р с о н а ́ ж	
		č u m á k	s n u d e	m u z z l e	m u z e l o	t u r p a			m u s o	f o c i n h o	р ы ́ л о	
		C h o m o u t o v		C h o m o u t o v								
		v n í m a v ý		p e r c e p t i v e	a k r a s e n t a	t e r ä v ä			a c u t o	p e r s p i c a z	в о с п р и и ́ м ч и в ы й	
				h o m o p h o b i a	h o m o f o b i o	a n t r o p o f o b i a				h o m o f o b i a		
w i s k u n d e	গ ণ ি ত	m a t e m a t i k a	m a t e m a t i k	m a t h e m a t i c s	m a t e m a t i k o	m a t e m a t i i k k a	მ ა თ ე მ ა ტ ი კ ა	מ ָ ת ֵ מ ָ ט ִ י ק ָ ה	m a t e m a t i c a	m a t e m á t i c a	м а т е м а ́ т и к а	h i s a b a t i
				b e a m		s ä t e i l y t t ä ä						
				l a d y - i n - w a i t i n g		k a m a r i n e i t o					ф р е ́ й л и н а	
				d o o r j a m b		o v e n p i e l i				u m b r a l		
				V J			ვ ი ჯ ე ი					
				r e f l e c t a n c e					r i f l e t t a n z a			
		p r o p a g a c e	s t ø t t e	p r o m o t i o n		p r o m o				p u b l i c i d a d e	с т и м у л и ́ р о в а н и е	
				k o f t a		k o f t a	გ უ ფ თ ა	כ ו פ ת ה		c a f t a	т е ́ ф т е л и	
				c r i n g e		v a v a h d u s					с о д р о г а н и е	
				O r e n b u r g		O r e n b u r g	ო რ ე ნ ბ უ რ გ ი	א ו ר נ ב ו ר ג		O r e m b u r g o	О р е н б у ́ р г	
		d o b ý t	s e j r e	c o n q u e r	k o n k e r i	v o i t t a a	გ ა მ ა რ ჯ ვ ე ბ ა	כ ָ ּ ב ַ ש ׁ	v i n c e r e	c o n q u i s t a r	п о к о р и ́ т ь	
				S w a b i a n		s c h w a b i l a i n e n				s u á b i o		
				A b d u l							А б д у ́ л	
				h y d r o f o i l		k a n t o s i i p i			a l a   p o r t a n t e	h i d r o f ó l i o	г и д р о к р ы л о ́	
				r e p u r c h a s e		t a k a i s i n o s t o						
				s t a y   b e h i n d							о с т а ́ т ь с я	
				g l a s s		l i n s s i						
				k i p		k i p p i						
				h a l f - y e a r l y		p u o l i v u o s i t t a i n						
				b é a r n a i s e   s a u c e		b é a r n a i s e k a s t i k e						
				a d v e n t u r e   g a m e		s e i k k a i l u p e l i	ს ა თ ა ვ გ ა დ ა ს ა ვ ლ ო   თ ა მ ა შ ი				к в е с т	
				a n t i s p a m						a n t i s p a m		
				p e r i n a t a l		p e r i n a t a a l i n e n						
				A l d e r n e y						a l d e r n e y		
				b u d g e t						e m   c o n t a	б ю д ж е ́ т н ы й	
				p a p e r c u t t i n g		p a p e r i n l e i k k a u s						
				s p r u c e   c o n e		k u u s e n k ä p y						
				o n   b a s e		p e s ä l l ä						
				k e y s t r o k e		p a i n a l l u s			b a t t u t a			
				d i s t r i b u t i v e		d i s t r i b u t i i v i n e n						
