Orthography	Segments
H U R F O R D	h ɝ f ɝ d
H U R L	h ɝ l
H U R L B E R T	h ɝ l b ɝ t
H U R L B U R T	h ɝ l b ɝ t
H U R L B U T	h ɝ l b ʌ t
H U R L B U T T	h ɝ l b ʌ t
H U R L E D	h ɝ l d
H U R L E S S	h ɝ l ʌ s
H U R L E Y	h ɝ l i
H U R L I N G	h ɝ l ɪ ŋ
H U R L O C K	h ɝ l ʌ k
H U R L Y	h ɝ l i
H U R M	h ɝ m
H U R N	h ɝ n
H U R N E Y	h ɝ n i
H U R O N	h j u ɹ ɑ n
H U R O N	h j ʊ ɹ ɑ n
H U R R A H	h ʊ ɹ ɑ
H U R R A Y	h ʌ ɹ eɪ
H U R R E L L	h ɔ ɹ ʌ l
H U R R I	h ɝ i
H U R R I C A N E	h ɝ ʌ k eɪ n
H U R R I C A N E	h ʌ ɹ ʌ k eɪ n z
H U R R I C A N E S	h ɝ ʌ k eɪ n z
H U R R I C A N E S	h ɝ ʌ k eɪ n z
H U R R I E D	h ɝ i d
H U R R I E D L Y	h ɝ i d l i
H U R R I E S	h ɝ i z
H U R R Y	h ɝ i
H U R R Y I N G	h ɝ i ɪ ŋ
H U R S E Y	h ɝ s i
H U R S H	h ɝ ʃ
H U R S T	h ɝ s t
H U R S T O N	h ɝ s t ʌ n
H U R T	h ɝ t
H U R T A	h ɝ t ʌ
H U R T A D O	h ɝ t ɑ d oʊ
H U R T E A U	h ɝ t oʊ
H U R T F U L	h ɝ t f ʌ l
H U R T I G	h ɝ t ɪ ɡ
H U R T I N G	h ɝ t ɪ ŋ
H U R T L E	h ɝ t ʌ l
H U R T L I N G	h ɝ t l ɪ ŋ
H U R T S	h ɝ t s
H U R T T	h ɝ t
H U R T U B I S E	h ɝ t ʌ b aɪ z
H U R V E Y	h ɝ v i
H U R V I T Z	h ɝ v ɪ t s
H U R W I T Z	h ɝ w ɪ t s
H U S A I N	h ʌ s aɪ n
H U S A K	h u s ʌ k
H U S A R	h u s ɝ
H U S B A N D	h ʌ z b ʌ n d
H U S B A N D S	h ʌ z b ʌ n d z
H U S B A N D R Y	h ʌ z b ʌ n d ɹ i
H U S B A N D S	h ʌ z b ʌ n d z
H U S B A N D S	h ʌ s b ʌ n d z
H U S B Y	h ʌ s b i
H U S C H K A	h ʌ ʃ k ʌ
H U S E	h j u z
H U S E B Y	h ʌ s ɪ b i
H U S E M A N	h u s m ʌ n
H U S E N	h u s ʌ n
H U S E R	h j u z ɝ
H U S H	h ʌ ʃ
H U S H E D	h ʌ ʃ t
H U S I C	h j u z ɪ k
H U S K	h ʌ s k
H U S K A	h ʌ s k ʌ
H U S K E Y	h ʌ s k i
H U S K I N S	h ʌ s k ɪ n z
H U S K S	h ʌ s k s
H U S K Y	h ʌ s k i
H U S K Y S	h ʌ s k i z
H U S M A N	h ʌ s m ʌ n
H U S M A N N	h ʌ s m ʌ n
H U S O N	h u s ʌ n
H U S S	h ʌ s
H U S S A I N	h u s eɪ n
H U S S A R	h ʌ s ɝ
H U S S E I N	h u s eɪ n
H U S S E I N S	h u s eɪ n z
H U S S E I N I	h j u s eɪ n i
H U S S E I N I	h u s eɪ n i
H U S S E R	h ʌ s ɝ
H U S S E Y	h ʌ s i
H U S S I T E	h ʌ s aɪ t
H U S S M A N	h ʌ s m ʌ n
H U S S O N	h ʌ s ʌ n
H U S S O N G	h ʌ s ɔ ŋ
H U S S Y	h ʌ s i
H U S T	h ʌ s t
H U S T A D	h ʌ s t ʌ d
H U S T E A D	h ʌ s t ɛ d
H U S T E D	h ʌ s t ɪ d
H U S T E R	h ʌ s t ɝ
H U S T I N G S	h ʌ s t ɪ ŋ z
H U S T L E	h ʌ s ʌ l
H U S T L E D	h ʌ s ʌ l d
H U S T L E R	h ʌ s ʌ l ɝ
H U S T L E R	h ʌ s l ɝ
H U S T L E R S	h ʌ s ʌ l ɝ z
H U S T L E R S	h ʌ s l ɝ z
H U S T L E S	h ʌ s ʌ l z
H U S T L I N G	h ʌ s ʌ l ɪ ŋ
H U S T L I N G	h ʌ s l ɪ ŋ
H U S T O N	h ʌ s t ʌ n
H U T	h ʌ t
H U T S	h ʌ t s
H U T A	h u t ʌ
H U T C H	h ʌ tʃ
H U T C H C R A F T	h ʌ tʃ k ɹ æ f t
H U T C H E N S	h ʌ tʃ ʌ n z
H U T C H E O N	h ʌ tʃ i ʌ n
H U T C H E R S O N	h ʌ tʃ ɝ s ʌ n
H U T C H E S O N	h ʌ tʃ ɪ s ʌ n
H U T C H I N G S	h ʌ tʃ ɪ ŋ z
H U T C H I N S	h ʌ t tʃ ɪ n z
H U T C H I N S O N	h ʌ tʃ ɪ n s ʌ n
H U T C H I S O N	h ʌ tʃ ɪ s ʌ n
H U T C H I S O N S	h ʌ tʃ ɪ s ʌ n z
H U T H	h u θ
H U T M A C H E R	h ʌ t m ʌ k ɝ
H U T N I C K	h ʌ t n ɪ k
H U T O	h u t oʊ
H U T S	h ʌ t s
H U T S E L L	h ʌ t s ʌ l
H U T S O N	h ʌ t s ʌ n
H U T T	h ʌ t
H U T T E R	h ʌ t ɝ
H U T T N E R	h ʌ t n ɝ
H U T T O	h u t oʊ
H U T T O N	h ʌ t ʌ n
H U T T O N S	h ʌ t ʌ n z
H U T U	h u t u
H U T U S	h u t u z
H U T U S	h u t u z
H U T Z E L	h ʌ t z ʌ l
H U T Z E L L	h ʌ t z ʌ l
H U T Z E L M A N	h ʌ t s ʌ l m ʌ n
H U T Z L E R	h ʌ t s l ɝ
H U V A L	h u v æ l
H U W E	h u w
H U X	h ʌ k s
H U X F O R D	h ʌ k s f ɝ d
H U X L E Y	h ʌ k s l i
H U X T A B L E	h ʌ k s t ʌ b ʌ l
H U X T A B L E S	h ʌ k s t ʌ b ʌ l z
H U Y C K	h aɪ k
H U Y E T T	h aɪ ɪ t
H U Y L E R	h aɪ l ɝ
H U Y N H	h aɪ n
H U Y S E R	h aɪ s ɝ
H U Z Z A H	h ʊ z ɑ
H W A	h w ɑ
H W A N	h w ɑ n
H W A N S	h w ɑ n z
H W A N G	h w æ ŋ
H W A N G	h w ɑ ŋ
H W A N G H O	h w æ ŋ h oʊ
H W A N G H O	h w ɑ ŋ h oʊ
H W E	h w eɪ
H Y	h aɪ
H Y A C I N T H	h aɪ ʌ s ɪ n θ
H Y A C I N T H A	h aɪ ʌ s ɪ n θ ʌ
H Y A C I N T H E	h aɪ ʌ s ɪ n θ
H Y A C I N T H I A	h aɪ ʌ s ɪ n θ i ʌ
H Y A C I N T H I E	h aɪ ʌ s ɪ n θ i
H Y A C I N T H S	h aɪ ʌ s ɪ n θ s
H Y A D E S	h aɪ ʌ d i z
H Y A K U T A K E	h aɪ ʌ k u t ɑ k i
H Y A K U T A K E	h aɪ ʌ k j u t ɑ k i
H Y A L U R O N I C	h aɪ ʌ l ɝ ɑ n ɪ k
H Y A M S	h aɪ ʌ m z
H Y A N N I S	h aɪ æ n ɪ s
H Y A N N I S P O R T	h aɪ æ n ɪ s p ɔ ɹ t
H Y A T T	h aɪ ʌ t
H Y A T T S	h aɪ ʌ t s
H Y B L	h ɪ b ʌ l
H Y B L S	h ɪ b ʌ l z
H Y B R I D	h aɪ b ɹ ʌ d
H Y B R I D	h aɪ b ɹ ɪ d
H Y B R I D I Z A T I O N	h aɪ b ɹ ʌ d ʌ z eɪ ʃ ʌ n
H Y B R I D I Z E	h aɪ b ɹ ʌ d aɪ z
H Y B R I D S	h aɪ b ɹ ʌ d z
H Y B R I E N K O	h aɪ b ɹ i ɛ n k oʊ
H Y B R I T E C H	h aɪ b ɹ ɪ t ɛ k
H Y C H E	h aɪ tʃ
H Y C O R	h aɪ k ɔ ɹ
H Y C R O F T	h aɪ k ɹ ɔ f t
H Y D E	h aɪ d
H Y D E S	h aɪ d z
H Y D E A	h aɪ d i ʌ
H Y D E A	h aɪ d eɪ ʌ
H Y D E I A	h aɪ d eɪ ʌ
H Y D E N	h aɪ d ʌ n
H Y D E R	h aɪ d ɝ
H Y D E R A B A D	h aɪ d ɛ ɹ ʌ b æ d
H Y D E R A B A D	h aɪ d ɝ ʌ b æ d
H Y D O C K	h aɪ d ʌ k
H Y D R A	h aɪ d ɹ ʌ
H Y D R A N T	h aɪ d ɹ ʌ n t
H Y D R A N T S	h aɪ d ɹ ʌ n t s
H Y D R A S	h aɪ d ɹ ʌ z
H Y D R A T E	h aɪ d ɹ eɪ t
H Y D R A T E D	h aɪ d ɹ eɪ t ʌ d
H Y D R A T E S	h aɪ d ɹ eɪ t s
H Y D R A T I O N	h aɪ d ɹ eɪ ʃ ʌ n
H Y D R A U L I C	h aɪ d ɹ ɔ l ɪ k
H Y D R A U L I C S	h aɪ d ɹ ɔ l ɪ k s
H Y D R A Z I N E	h aɪ d ɹ ʌ z i n
H Y D R I C K	h ɪ d ɹ ɪ k
H Y D R I D E	h aɪ d ɹ aɪ d
H Y D R O	h aɪ d ɹ oʊ
H Y D R O S	h aɪ d ɹ oʊ z
H Y D R O C A R B O N	h aɪ d ɹ oʊ k ɑ ɹ b ʌ n
H Y D R O C A R B O N S	h aɪ d ɹ oʊ k ɑ ɹ b ʌ n z
H Y D R O C E P H A L I C	h aɪ d ɹ oʊ s ɛ f ɑ l ɪ k
H Y D R O C E P H A L U S	h aɪ d ɹ oʊ s ɛ f ʌ l ʌ s
H Y D R O E L E C T R I C	h aɪ d ɹ oʊ ɪ l ɛ k t ɹ ɪ k
H Y D R O E N C E P H A L U S	h aɪ d ɹ oʊ ʌ n s ɛ f ʌ l ʌ s
H Y D R O F O I L	h aɪ d ɹ ʌ f ɔɪ l
H Y D R O G E N	h aɪ d ɹ ʌ dʒ ʌ n
H Y D R O G E N A T E	h aɪ d ɹ ʌ dʒ ʌ n eɪ t
H Y D R O G E N A T E D	h aɪ d ɹ ʌ dʒ ʌ n eɪ t ɪ d
H Y D R O G E N A T E D	h aɪ d ɹ ɑ dʒ ʌ n eɪ t ɪ d
H Y D R O G E N A T E S	h aɪ d ɹ ʌ dʒ ʌ n eɪ t s
H Y D R O G E N A T I N G	h aɪ d ɹ ʌ dʒ ʌ n eɪ t ɪ ŋ
H Y D R O G E N A T I O N	h aɪ d ɹ ɑ dʒ ʌ n eɪ ʃ ʌ n
H Y D R O G E N S	h aɪ d ɹ ʌ dʒ ʌ n z
H Y D R O G R A P H I C	h aɪ d ɹ ʌ ɡ ɹ æ f ɪ k
H Y D R O L Y S I S	h aɪ d ɹ ɑ l ʌ s ʌ s
H Y D R O L Y Z E	h aɪ d ɹ ʌ l aɪ z
H Y D R O L Y Z E D	h aɪ d ɹ ʌ l aɪ z d
H Y D R O L Y Z I N G	h aɪ d ɹ ʌ l aɪ z ɪ ŋ
H Y D R O M E T E R	h aɪ d ɹ ɑ m ʌ t ɝ
H Y D R O N	h aɪ d ɹ ʌ n
H Y D R O P H I L I C	h aɪ d ɹ ʌ f ɪ l ɪ k
H Y D R O P I C	h aɪ d ɹ ɔ p ɪ k
H Y D R O P O N I C	h aɪ d ɹ ʌ p ɑ n ɪ k
H Y D R O P O W E R	h aɪ d ɹ oʊ p aʊ ɹ
H Y D R O S O L	h aɪ d ɹ ʌ s ɑ l
H Y D R O S U L F I D E	h aɪ d ɹ oʊ s ʌ l f aɪ d
H Y D R O T H E R A P Y	h aɪ d ɹ oʊ θ ɛ ɹ ʌ p i
H Y D R O T H E R M A L	h aɪ d ɹ oʊ θ ɝ m ʌ l
H Y D R O U S	h aɪ d ɹ ʌ s
H Y D R O X	h aɪ d ɹ ɔ k s
H Y D R O X I D E	h aɪ d ɹ ɑ k s aɪ d
H Y D R O X I D E S	h aɪ d ɹ ɑ k s aɪ d z
H Y D R O X Y	h aɪ d ɹ ɔ k s i
H Y D S T R A	h aɪ d s t ɹ ʌ
H Y E	h aɪ
H Y E N A	h aɪ i n ʌ
H Y E N A S	h aɪ i n ʌ z
H Y E R	h aɪ ɝ
H Y E R S	h aɪ ɝ z
H Y G E I A	h aɪ dʒ eɪ ʌ
H Y G I E N E	h aɪ dʒ i n
H Y G I E N I S T	h aɪ ɡ i n ɪ s t
H Y G I E N I S T	h aɪ ɡ ɛ n ɪ s t
H Y G I E N I S T S	h aɪ ɡ i n ɪ s t s
H Y G I E N I S T S	h aɪ ɡ i n ɪ s
H Y G I E N I S T S	h aɪ ɡ ɛ n ɪ s t s
H Y G I E N I S T S	h aɪ ɡ ɛ n ɪ s
H Y G R O M E T E R	h aɪ ɡ ɹ ɑ m ʌ t ɝ
H Y K E S	h aɪ k s
H Y L A N D	h aɪ l ʌ n d
H Y L E	h aɪ l
H Y L E R	h aɪ l ɝ
H Y L S A	h aɪ l s ʌ
H Y L T O N	h ɪ l t ʌ n
H Y M A N	h aɪ m ʌ n
H Y M A N S	h aɪ m ʌ n z
H Y M A S	h aɪ m ʌ z
H Y M E L	h aɪ m ʌ l
H Y M E N	h aɪ m ʌ n
H Y M E N E A L	h ɪ m ʌ n i ʌ l
H Y M E R	h aɪ m ɝ
H Y M E S	h aɪ m z
H Y M I E	h aɪ m i
H Y M I E S	h aɪ m i z
H Y M N	h ɪ m
H Y M N A L	h ɪ m n ʌ l
H Y M N A L S	h ɪ m n ʌ l z
H Y M N O L O G Y	h ɪ m n ɑ l ʌ dʒ i
H Y M N S	h ɪ m z
H Y M O W I T Z	h ɪ m ʌ w ɪ t s
H Y M O W I T Z	h aɪ m ʌ w ɪ t s
H Y N D	h ɪ n d
H Y N D M A N	h ɪ n d m ʌ n
H Y N D S	h ɪ n d z
H Y N E K	h aɪ n ɪ k
H Y N E S	h aɪ n z
H Y N E S S	h aɪ n z ɪ z
H Y N S O N	h ɪ n s ʌ n
H Y O G O	h j oʊ ɡ oʊ
H Y O T A N	h j oʊ t æ n
H Y P E	h aɪ p
H Y P E D	h aɪ p t
H Y P E R	h aɪ p ɝ
H Y P E R A C T I V E	h aɪ p ɝ æ k t ɪ v
H Y P E R A C T I V I T Y	h aɪ p ɝ æ k t ɪ v ɪ t i
H Y P E R B A R I C	h aɪ p ɝ b ɑ ɹ ɪ k
H Y P E R B A R I C	h aɪ p ɝ b æ ɹ ɪ k
H Y P E R B O L A	h aɪ p ɝ b ʌ l ʌ
H Y P E R B O L E	h aɪ p ɝ b ʌ l i
H Y P E R B O L I C	h aɪ p ɝ b ɑ l ɪ k
H Y P E R B O R E A N	h aɪ p ɝ b ɔ ɹ i ʌ n
H Y P E R C A R D	h aɪ p ɝ k ɑ ɹ d
H Y P E R C H R O M A T I C	h aɪ p ɝ k ɹ oʊ m æ t ɪ k
H Y P E R C R I T I C A L	h aɪ p ɝ k ɹ ɪ t ɪ k ʌ l
H Y P E R D R I V E	h aɪ p ɝ d ɹ aɪ v
H Y P E R I N F L A T I O N	h aɪ p ɝ ɪ n f l eɪ ʃ ʌ n
H Y P E R I O N	h aɪ p ɪ ɹ i ʌ n
H Y P E R K I N E T I C	h aɪ p ɝ k ɪ n ɛ t ɪ k
H Y P E R L I N K	h aɪ p ɝ l ɪ ŋ k
H Y P E R L I N K S	h aɪ p ɝ l ɪ ŋ k s
H Y P E R M A R K E T	h aɪ p ɝ m ɑ ɹ k ɪ t
H Y P E R M A R K E T S	h aɪ p ɝ m ɑ ɹ k ɪ t s
H Y P E R O P I A	h aɪ p ɝ oʊ p i ɑ
H Y P E R P L A S I A	h aɪ p ɝ p l eɪ ʒ i ɑ
H Y P E R S E N S I T I V E	h aɪ p ɝ s ɛ n s ɪ t ɪ v
H Y P E R S E N S I T I V I T Y	h aɪ p ɝ s ɛ n s ɪ t ɪ v ɪ t i
H Y P E R S O N I C	h aɪ p ɝ s ɑ n ɪ k
H Y P E R S P A C E	h aɪ p ɝ s p eɪ s
H Y P E R T E N S I O N	h aɪ p ɝ t ɛ n ʃ ʌ n
H Y P E R T E N S I V E	h aɪ p ɝ t ɛ n s ɪ v
H Y P E R T E X T	h aɪ p ɝ t ɛ k s t
H Y P E R T O N I C	h aɪ p ɝ t ɑ n ɪ k
H Y P E R T R O P H I C	h aɪ p ɝ t ɹ oʊ f ɪ k
H Y P E R T R O P H Y	h aɪ p ɝ t ɹ oʊ f i
H Y P E S	h aɪ p s
H Y P H A E	h aɪ f i
H Y P H E N	h aɪ f ʌ n
H Y P H E N A T E	h aɪ f ʌ n eɪ t
H Y P H E N A T E D	h aɪ f ʌ n eɪ t ɪ d
H Y P H E N A T E S	h aɪ f ʌ n eɪ t s
H Y P H E N A T I N G	h aɪ f ʌ n eɪ t ɪ ŋ
H Y P H E N A T I O N	h aɪ f ʌ n eɪ ʃ ʌ n
H Y P I N G	h aɪ p ɪ ŋ
H Y P N O S I S	h ɪ p n oʊ s ʌ s
H Y P N O T I C	h ɪ p n ɑ t ɪ k
H Y P N O T I C S	h ɪ p n ɑ t ɪ k s
H Y P N O T I S M	h ɪ p n ʌ t ɪ z ʌ m
H Y P N O T I S M S	h ɪ p n ʌ t ɪ z ʌ m z
H Y P N O T I S T	h ɪ p n ʌ t ɪ s t
H Y P N O T I S T S	h ɪ p n ʌ t ɪ s t s
H Y P N O T I Z E	h ɪ p n ʌ t aɪ z
H Y P N O T I Z E D	h ɪ p n ʌ t aɪ z d
H Y P N O T I Z E S	h ɪ p n ʌ t aɪ z ʌ z
H Y P O	h aɪ p oʊ
H Y P O C H O N D R I A	h aɪ p ʌ k ɑ n d ɹ i ʌ
H Y P O C H O N D R I A C	h aɪ p ʌ k ɑ n d ɹ i æ k
H Y P O C R I S Y	h ɪ p ɑ k ɹ ʌ s i
H Y P O C R I T E	h ɪ p ʌ k ɹ ɪ t
H Y P O C R I T E S	h ɪ p ʌ k ɹ ɪ t s
H Y P O C R I T I C A L	h ɪ p ʌ k ɹ ɪ t ɪ k ʌ l
H Y P O D E R M I C	h aɪ p ʌ d ɝ m ɪ k
H Y P O G L Y C E M I A	h aɪ p oʊ ɡ l aɪ s i m i ʌ
H Y P O G L Y C E M I C	h aɪ p oʊ ɡ l aɪ s i m ɪ k
H Y P O L I T E	h aɪ p ʌ l aɪ t
H Y P O N E X	h aɪ p oʊ n ɛ k s
H Y P O T E N S I O N	h aɪ p oʊ t ɛ n ʃ ʌ n
H Y P O T H A L A M I C	h aɪ p oʊ θ ɑ l æ m ɪ k
H Y P O T H A L A M U S	h aɪ p oʊ θ ɑ l ʌ m ʌ s
H Y P O T H E K E N	h aɪ p ɑ θ ʌ k ʌ n
H Y P O T H E R M I A	h aɪ p ʌ θ ɝ m i ʌ
H Y P O T H E S E S	h aɪ p ɑ θ ʌ s i z
H Y P O T H E S I S	h aɪ p ɑ θ ʌ s ʌ s
H Y P O T H E S I Z E	h aɪ p ɑ θ ʌ s aɪ z
H Y P O T H E S I Z E D	h aɪ p ɑ θ ʌ s aɪ z d
H Y P O T H E T I C A L	h aɪ p ʌ θ ɛ t ʌ k ʌ l
H Y P O T H E T I C A L	h aɪ p ʌ θ ɛ t ɪ k ʌ l
H Y P O T H E T I C A L L Y	h aɪ p ʌ θ ɛ t ɪ k l i
H Y P O T H E T I C A L S	h aɪ p ʌ θ ɛ t ʌ k ʌ l z
H Y P O X I A	h aɪ p ɑ k s i ʌ
H Y R A X E S	h aɪ ɹ æ k s ʌ z
H Y R E	h aɪ ɹ
H Y S E L L	h aɪ s ʌ l
H Y S E R	h aɪ z ɝ
H Y S L O P	h aɪ s l ʌ p
H Y S O N	h aɪ s ʌ n
H Y S O N G	h aɪ s ɔ ŋ
H Y S S O P	h ɪ s ʌ p
H Y S T E R	h ɪ s t ɝ
H Y S T E R E C T O M I E S	h ɪ s t ɝ ɛ k t ʌ m i
H Y S T E R E C T O M Y	h ɪ s t ɝ ɛ k t ʌ m i
H Y S T E R I A	h ɪ s t ɛ ɹ i ʌ
H Y S T E R I C	h ɪ s t ɛ ɹ ɪ k
H Y S T E R I C A L	h ɪ s t ɛ ɹ ɪ k ʌ l
H Y S T E R I C A L L Y	h ɪ s t ɛ ɹ ɪ k l i
H Y S T E R I C S	h ɪ s t ɛ ɹ ɪ k s
H Y U N	h aɪ ʌ n
H Y U N	h j ʌ n
H Y U N D A E	h j ʌ n d eɪ
H Y U N D A I	h j ʌ n d eɪ
H Y U N D A I	h ʌ n d eɪ
H Y U N D A I S	h ʌ n d eɪ z
H Y U N D A I S	h j ʌ n d eɪ z
H Y W E L L	h aɪ w ɛ l
H Z	h ɝ t z
I	aɪ
I D	aɪ d
I E R S	aɪ ɝ z
I L L	aɪ l
I M	aɪ m
I M	ʌ m
I S	aɪ z
I V E	aɪ v
I	aɪ
I S	aɪ z
I S	aɪ z
I A	i ʌ
I A C O B E L L I	i ɑ k oʊ b ɛ l i
I A C O B E L L I S	i ɑ k oʊ b ɛ l ɪ s
I A C O B U C C I	i ɑ k oʊ b u tʃ i
I A C O C C A	aɪ ʌ k oʊ k ʌ
I A C O C C A S	aɪ ʌ k oʊ k ʌ z
I A C O N A	aɪ ʌ k oʊ n ʌ
I A C O N O	aɪ ʌ k oʊ n oʊ
I A C O V E L L I	i ɑ k oʊ v ɛ l i
I A F R A T E	aɪ ʌ f ɹ eɪ t i
I A G O	i ɑ ɡ oʊ
I A I N	i eɪ n
I A K O V O S	i ɑ k oʊ v oʊ s
I A L L A	aɪ ɑ l ʌ
I A L L A	i ɑ l ʌ
I A M S	i ɑ m z
I A M S	aɪ ɑ m z
I A N	i ʌ n
I A N N A C C O N E	i ɑ n ʌ k oʊ n i
I A N N A C O N E	i ɑ n ʌ k oʊ n i
I A N N A M I C O	i ɑ n ʌ m i k oʊ
I A N N E L L I	i ʌ n ɛ l i
I A N N E L L O	i ʌ n ɛ l oʊ
I A N N I	i ɑ n i
I A N N I E L L O	i ɑ n i ɛ l oʊ
I A N N O N E	i ʌ n oʊ n i
I A N N O T T I	i ʌ n oʊ t i
I A N N U C C I	i ʌ n u tʃ i
I A N N U Z Z I	i ʌ n u t s i
I A N N U Z Z I	i ʌ n u z i
I A N O V S K I	j ʌ n ɑ v s k i
I A N O V S K I	j ʌ n ɑ f s k i
I A N T H A	i ɑ n θ ʌ
I A N T H E	i ɑ n θ eɪ
I A N T H I N A	i ʌ n θ i n ʌ
I A S O N	i ʌ s ʌ n
I A V A R O N E	i ɑ v ɝ oʊ n i
I B	ɪ b
I B	aɪ b i
I B A	i b ʌ
I B A C H	ɪ b ɑ k
I B A N E Z	ɪ b ɑ n ɛ z
I B A R A K I	aɪ b ɝ ɑ k i
I B A R R A	ɪ b ɑ ɹ ʌ
I B B O T S O N	ɪ b ʌ t s ʌ n
I B E R I A	aɪ b ɪ ɹ i ʌ
I B E R I A S	aɪ b ɪ ɹ i ʌ z
I B E R I A N	aɪ b ɪ ɹ i ʌ n
I B E R O	ɪ b ɛ ɹ oʊ
I B E X	aɪ b ɛ k s
I B I D	ɪ b ɪ d
I B I D	ɪ b ɪ d
I B I S	aɪ b ʌ s
I B I Z A	i b i z ʌ
I B M	aɪ b i ɛ m
I B M E R	aɪ b i ɛ m ɝ
I B M E R S	aɪ b i ɛ m ɝ z
I B N	ɪ b ʌ n
I B O G A I N E	aɪ b oʊ ɡ eɪ n
I B O G A I N E	aɪ b ʌ ɡ eɪ n
I B R A H I M	ɪ b ɹ ɑ h i m
I B S E N	ɪ b s ʌ n
I B U P R O F E N	aɪ b j u p ɹ oʊ f ʌ n
I C A H N	aɪ k ɑ n
I C A H N S	aɪ k ɑ n z
I C A R D	ɪ k ɑ ɹ d
I C A R U S	ɪ k ɝ ʌ s
I C E	aɪ s
I C E C R E A M	aɪ s k ɹ i m
I C E N I N E	aɪ s n aɪ n
I C E B E R G	aɪ s b ɝ ɡ
I C E B E R G S	aɪ s b ɝ ɡ z
I C E B O X	aɪ s b ɑ k s
I C E B R E A K E R	aɪ s b ɹ eɪ k ɝ
I C E B R E A K E R S	aɪ s b ɹ eɪ k ɝ z
I C E D	aɪ s t
I C E F I S H	aɪ s f ɪ ʃ
I C E L A N D	aɪ s l ʌ n d
I C E L A N D A I R	aɪ s l æ n d ɛ ɹ
I C E L A N D I C	aɪ s l æ n d ɪ k
I C E M A N	aɪ s m æ n
I C E N H O U R	ɪ s ʌ n aʊ ɹ
I C E N H O U R	aɪ s ʌ n aʊ ɹ
I C E N H O W E R	ɪ s ʌ n h aʊ ɝ
I C E N H O W E R	aɪ s ʌ n h aʊ ɝ
I C E N O G L E	ɪ s ʌ n oʊ ɡ ʌ l
I C E N O G L E	aɪ s ʌ n oʊ ɡ ʌ l
I C E S	aɪ s ʌ z
I C E S	aɪ s ɪ z
I C E S K A T E	aɪ s s k eɪ t
I C E S K A T E	aɪ s k eɪ t
I C E S K A T I N G	aɪ s s k eɪ t ɪ ŋ
I C E S K A T I N G	aɪ s k eɪ t ɪ ŋ
I C H	ɪ tʃ
I C H I	i tʃ i
I C H I K A W A	ɪ tʃ i k ɑ w ɑ
I C H I R O	i tʃ ɪ ɹ oʊ
I C I C L E	aɪ s ɪ k ʌ l
I C I C L E S	aɪ s ɪ k ʌ l z
I C I L Y	aɪ s ɪ l i
I C I N G	aɪ s ɪ ŋ
I C K E S	ɪ k i z
I C K E S	aɪ k i z
I C K E S	aɪ k s
I C K E S	ɪ k ʌ s
I C K E S	ɪ k i z
I C O N	aɪ k ɑ n
I C O N I C	aɪ k ɑ n ɪ k
I C O N O C L A S M	aɪ k ɑ n ʌ k l æ z ʌ m
I C O N O C L A S T	aɪ k ɑ n ʌ k l æ s t
I C O N O C L A S T I C	aɪ k ʌ n ʌ k l æ s t ɪ k
I C O N O G R A P H Y	aɪ k ʌ n ɑ ɡ ɹ ʌ f i
I C O N S	aɪ k ɑ n z
I C Y	aɪ s i
I D	ɪ d
I D	aɪ d i
I D A	aɪ d ʌ
I D A H O	aɪ d ʌ h oʊ
I D A H O S	aɪ d ʌ h oʊ z
I D A H O F A L L S	aɪ d ʌ h oʊ f ɑ l z
I D A L I A	ɪ d ɑ l j ʌ
I D A L I N A	ɪ d ɑ l i n ʌ
I D A L I N E	ɪ d ʌ l aɪ n
I D D I N G S	ɪ d ɪ ŋ z
I D E	aɪ d
I D E A	aɪ d i ʌ
I D E A S	aɪ d i ʌ z
I D E A L	aɪ d i l
I D E A L S	aɪ d i l z
I D E A L I S M	aɪ d i l ɪ z ʌ m
I D E A L I S T	aɪ d i l ɪ s t
I D E A L I S T I C	aɪ d i ʌ l ɪ s t ɪ k
I D E A L I S T S	aɪ d i ʌ l ɪ s t s
I D E A L I Z E	aɪ d i ʌ l aɪ z
I D E A L I Z E D	aɪ d i ʌ l aɪ z d
I D E A L I Z E S	aɪ d i ʌ l aɪ z ɪ z
I D E A L I Z I N G	aɪ d i ʌ l aɪ z ɪ ŋ
I D E A L L Y	aɪ d i l i
I D E A L S	aɪ d i l z
I D E A S	aɪ d i ʌ z
I D E A T I O N	aɪ d i eɪ ʃ ʌ n
I D E C	aɪ d ʌ k
I D E N	aɪ d ʌ n
I D E N T	aɪ d ɛ n t
I D E N T A	aɪ d ɛ n t ʌ
I D E N T I C A L	aɪ d ɛ n t ɪ k ʌ l
I D E N T I C S	aɪ d ɛ n t ɪ k s
I D E N T I F I A B L E	aɪ d ɛ n t ʌ f aɪ ʌ b ʌ l
I D E N T I F I C A T I O N	aɪ d ɛ n t ʌ f ʌ k eɪ ʃ ʌ n
I D E N T I F I C A T I O N S	aɪ d ɛ n t ʌ f ʌ k eɪ ʃ ʌ n z
I D E N T I F I E D	aɪ d ɛ n t ʌ f aɪ d
I D E N T I F I E R	aɪ d ɛ n t ʌ f aɪ ɝ
I D E N T I F I E S	aɪ d ɛ n t ʌ f aɪ z
I D E N T I F Y	aɪ d ɛ n t ʌ f aɪ
I D E N T I F Y I N G	aɪ d ɛ n t ʌ f aɪ ɪ ŋ
I D E N T I K I T	aɪ d ɛ n t ɪ k ɪ t
I D E N T I T I E S	aɪ d ɛ n t ɪ t i z
